Generator,Level,TotalJumps,ReachableJumps,UnreachableJumps,ReachabilityPercentage,AverageGap,MaximumGap,AverageHeightDifference,MaximumHeightDifference,LevelCompletable
Random Generator,1,16,13,3,81.25,3.77,10.64,1.50,3.85,False
Random Generator,2,16,10,6,62.50,3.73,9.46,1.23,2.43,False
Random Generator,3,16,13,3,81.25,3.27,8.23,1.40,3.43,False
Random Generator,4,16,13,3,81.25,3.03,7.56,1.34,3.33,False
Random Generator,5,16,11,5,68.75,3.11,8.33,1.80,3.35,False
Random Generator,6,16,11,5,68.75,3.39,7.57,1.56,3.26,False
Random Generator,7,16,9,7,56.25,4.27,8.14,1.58,3.18,False
Random Generator,8,16,12,4,75.00,3.48,8.21,1.46,3.70,False
Random Generator,9,16,12,4,75.00,3.62,7.49,2.10,3.60,False
Random Generator,10,16,11,5,68.75,3.51,9.46,1.04,3.32,False
Random Generator,11,16,8,8,50.00,4.13,9.09,1.81,3.25,False
Random Generator,12,16,11,5,68.75,3.74,8.30,1.40,3.04,False
Random Generator,13,16,11,5,68.75,3.86,9.08,1.37,3.09,False
Random Generator,14,16,10,6,62.50,3.80,8.79,1.41,3.15,False
Random Generator,15,16,14,2,87.50,3.37,7.17,0.96,2.64,False
Random Generator,16,16,9,7,56.25,4.74,10.57,1.29,3.47,False
Random Generator,17,16,12,4,75.00,3.45,8.46,1.42,3.31,False
Random Generator,18,16,11,5,68.75,3.63,8.28,1.36,3.83,False
Random Generator,19,16,12,4,75.00,3.20,9.28,1.32,2.68,False
Random Generator,20,16,16,0,100.00,3.19,6.26,1.04,2.58,True
Random Generator,21,16,13,3,81.25,3.49,9.18,1.15,2.82,False
Random Generator,22,16,10,6,62.50,3.80,7.22,1.74,3.63,False
Random Generator,23,16,13,3,81.25,3.82,7.94,1.12,2.66,False
Random Generator,24,16,12,4,75.00,3.10,6.60,1.63,3.38,False
Random Generator,25,16,12,4,75.00,2.90,8.27,1.72,3.54,False
Random Generator,26,16,12,4,75.00,2.93,7.61,1.51,3.70,False
Random Generator,27,16,13,3,81.25,3.38,9.59,1.08,3.10,False
Random Generator,28,16,12,4,75.00,3.51,8.78,1.85,3.99,False
Random Generator,29,16,14,2,87.50,3.62,7.49,1.08,3.48,False
Random Generator,30,16,15,1,93.75,3.12,5.78,1.30,2.57,False
Constraint Generator,1,16,16,0,100.00,2.12,3.31,1.03,2.19,True
Constraint Generator,2,16,16,0,100.00,2.12,3.25,0.93,2.60,True
Constraint Generator,3,16,16,0,100.00,2.08,3.37,1.12,3.15,True
Constraint Generator,4,16,16,0,100.00,2.12,3.48,0.95,2.89,True
Constraint Generator,5,16,16,0,100.00,2.06,2.87,0.72,1.90,True
Constraint Generator,6,16,16,0,100.00,2.03,3.13,0.99,2.06,True
Constraint Generator,7,16,16,0,100.00,2.13,3.50,1.22,3.71,True
Constraint Generator,8,16,16,0,100.00,2.04,3.38,1.24,3.22,True
Constraint Generator,9,16,16,0,100.00,1.94,3.25,0.92,1.94,True
Constraint Generator,10,16,16,0,100.00,2.21,3.39,0.65,1.93,True
Constraint Generator,11,16,16,0,100.00,2.07,3.24,1.05,1.99,True
Constraint Generator,12,16,16,0,100.00,2.19,3.39,0.88,1.56,True
Constraint Generator,13,16,16,0,100.00,2.11,3.33,0.99,3.42,True
Constraint Generator,14,16,16,0,100.00,2.23,3.36,1.00,2.61,True
Constraint Generator,15,16,16,0,100.00,2.14,3.42,0.95,1.97,True
Constraint Generator,16,16,16,0,100.00,2.13,3.21,0.88,3.37,True
Constraint Generator,17,16,16,0,100.00,2.15,3.41,0.98,1.60,True
Constraint Generator,18,16,16,0,100.00,1.92,3.40,0.88,2.51,True
Constraint Generator,19,16,16,0,100.00,2.12,3.03,1.16,2.69,True
Constraint Generator,20,16,16,0,100.00,2.22,3.48,1.00,1.75,True
Constraint Generator,21,16,16,0,100.00,2.20,3.51,0.97,1.94,True
Constraint Generator,22,16,16,0,100.00,2.11,3.38,1.31,2.60,True
Constraint Generator,23,16,16,0,100.00,2.13,3.38,0.67,1.61,True
Constraint Generator,24,16,16,0,100.00,2.10,3.34,1.29,3.29,True
Constraint Generator,25,16,16,0,100.00,2.01,3.10,1.14,2.84,True
Constraint Generator,26,16,16,0,100.00,2.10,3.24,1.13,2.23,True
Constraint Generator,27,16,16,0,100.00,2.09,3.42,0.88,1.89,True
Constraint Generator,28,16,16,0,100.00,2.03,3.40,1.01,3.57,True
Constraint Generator,29,16,16,0,100.00,2.10,3.04,1.14,2.71,True
Constraint Generator,30,16,16,0,100.00,2.27,3.44,0.77,1.65,True
