Generator,Level,RandomSeed,TotalJumps,ReachableJumps,UnreachableJumps,ReachabilityPercentage,AverageGap,MaximumGap,AverageHeightDifference,MaximumHeightDifference,LevelCompletable
Random Generator,1,1788791236,16,12,4,75.00,2.73,6.01,1.25,3.28,False
Random Generator,2,675265440,16,8,8,50.00,3.88,10.09,1.55,3.94,False
Random Generator,3,-2029580994,16,12,4,75.00,3.69,9.73,1.12,2.40,False
Random Generator,4,1087876495,16,10,6,62.50,3.40,8.05,1.59,3.46,False
Random Generator,5,-261267210,16,11,5,68.75,3.21,10.50,1.28,3.68,False
Random Generator,6,79450781,16,5,11,31.25,2.94,8.72,2.13,3.90,False
Random Generator,7,308442863,16,8,8,50.00,3.67,8.25,1.77,3.76,False
Random Generator,8,-2072090337,16,10,6,62.50,3.03,7.52,1.64,3.47,False
Random Generator,9,262686569,16,14,2,87.50,2.72,5.60,1.28,2.92,False
Random Generator,10,1974141387,16,10,6,62.50,4.02,10.17,1.48,3.11,False
Random Generator,11,-2090434617,16,12,4,75.00,2.69,4.55,1.42,3.42,False
Random Generator,12,1910759901,16,9,7,56.25,3.78,10.47,1.43,3.03,False
Random Generator,13,811368638,16,11,5,68.75,3.68,9.71,1.23,2.36,False
Random Generator,14,-789991838,16,9,7,56.25,2.80,6.11,2.07,3.77,False
Random Generator,15,-1320167667,16,8,8,50.00,3.75,8.83,1.90,3.71,False
Random Generator,16,1573971760,16,11,5,68.75,3.98,10.24,1.43,3.66,False
Random Generator,17,1974292280,16,10,6,62.50,3.11,6.52,1.53,3.92,False
Random Generator,18,1230205381,16,11,5,68.75,3.12,7.30,1.60,3.30,False
Random Generator,19,-1745570515,16,7,9,43.75,4.64,10.81,1.41,3.63,False
Random Generator,20,-1141656293,16,12,4,75.00,3.26,6.90,1.57,3.97,False
Random Generator,21,-1793834611,16,7,9,43.75,3.08,7.34,1.94,3.24,False
Random Generator,22,-2132529628,16,11,5,68.75,2.71,8.30,1.48,3.39,False
Random Generator,23,-1510007814,16,11,5,68.75,3.63,6.97,1.46,3.64,False
Random Generator,24,-1656189170,16,10,6,62.50,4.56,9.62,1.37,2.86,False
Random Generator,25,-1123868272,16,10,6,62.50,3.45,7.78,1.41,3.19,False
Random Generator,26,-1293914535,16,5,11,31.25,4.63,9.70,1.80,3.67,False
Random Generator,27,-932793231,16,9,7,56.25,4.60,8.88,0.95,2.35,False
Random Generator,28,-1712470703,16,9,7,56.25,3.31,8.37,1.36,3.27,False
Random Generator,29,-384185018,16,12,4,75.00,3.21,7.75,1.12,3.90,False
Random Generator,30,2006221337,16,10,6,62.50,3.63,8.71,1.09,3.52,False
Constraint Generator,1,-1405935408,16,16,0,100.00,4.76,6.04,1.34,1.78,True
Constraint Generator,2,-993231361,16,16,0,100.00,4.92,6.02,1.29,1.79,True
Constraint Generator,3,837335174,16,16,0,100.00,4.76,5.97,1.31,1.80,True
Constraint Generator,4,-1217810148,16,16,0,100.00,5.13,6.05,1.37,1.76,True
Constraint Generator,5,1742981823,16,16,0,100.00,5.02,5.91,1.35,1.64,True
Constraint Generator,6,1629670062,16,16,0,100.00,5.06,6.05,1.36,1.78,True
Constraint Generator,7,2131884736,16,16,0,100.00,5.18,6.02,1.45,1.80,True
Constraint Generator,8,1895788743,16,16,0,100.00,4.87,6.00,1.35,1.74,True
Constraint Generator,9,-749384159,16,16,0,100.00,4.77,5.86,1.31,1.78,True
Constraint Generator,10,1203192360,16,16,0,100.00,4.55,5.95,1.33,1.76,True
Constraint Generator,11,-433260803,16,16,0,100.00,5.03,6.06,1.40,1.73,True
Constraint Generator,12,1478552553,16,16,0,100.00,4.97,5.95,1.40,1.76,True
Constraint Generator,13,-1376991698,16,16,0,100.00,5.05,5.90,1.46,1.79,True
Constraint Generator,14,25433416,16,16,0,100.00,5.10,6.02,1.37,1.79,True
Constraint Generator,15,-393630894,16,16,0,100.00,4.77,6.06,1.33,1.79,True
Constraint Generator,16,-720033678,16,16,0,100.00,5.05,5.91,1.42,1.78,True
Constraint Generator,17,270145691,16,16,0,100.00,4.79,6.08,1.29,1.74,True
Constraint Generator,18,1460568886,16,16,0,100.00,5.01,6.00,1.38,1.68,True
Constraint Generator,19,-47278177,16,16,0,100.00,5.01,6.02,1.37,1.70,True
Constraint Generator,20,1557615532,16,16,0,100.00,5.24,6.01,1.36,1.77,True
Constraint Generator,21,412338975,16,16,0,100.00,5.09,6.07,1.39,1.77,True
Constraint Generator,22,-268921591,16,16,0,100.00,4.96,5.96,1.42,1.78,True
Constraint Generator,23,-990635371,16,16,0,100.00,5.08,6.04,1.40,1.79,True
Constraint Generator,24,-99923781,16,16,0,100.00,4.71,5.91,1.35,1.79,True
Constraint Generator,25,1211995791,16,16,0,100.00,4.96,5.91,1.34,1.66,True
Constraint Generator,26,1979994685,16,16,0,100.00,5.17,6.05,1.40,1.79,True
Constraint Generator,27,1683053657,16,16,0,100.00,5.19,6.04,1.31,1.72,True
Constraint Generator,28,877622866,16,16,0,100.00,4.82,6.02,1.33,1.73,True
Constraint Generator,29,341990358,16,16,0,100.00,5.03,6.00,1.44,1.77,True
Constraint Generator,30,-422599250,16,16,0,100.00,5.19,6.07,1.45,1.78,True
